============================================================
Programa 2 - Cobertura de 14 elementos
Universo U = {1..25}, candidatos S15, alvos S14
Lower bound LP: |SB| >= 297,160
============================================================

[1/3] Gerando S15 (C(25,15) = 3,268,760 elementos)...
      OK em 9.5s | memoria: 13.1 MB

[2/3] Gerando S14 (C(25,14) = 4,457,400 elementos)...
      OK em 12.2s | memoria: 17.8 MB

[3/3] Executando Greedy Set Cover (p=14)...

[Greedy] p=14 | |S15|=3,268,760 | |Sp|=4,457,400
         Cobertura por X: C(15,14)=15
         Extensoes por Y: C(11,1)=11
         Lower bound |SB| >= 297,160

  Construindo indices... OK (5.1s)
  Estrategia: heap lazy (150 updates/iter estimados)
  iter=  4600 | |SB|= 4,600 | cobertos=  1.5% | novos=   15 | loop=3.3s | ETA=210s
  iter=  4700 | |SB|= 4,700 | cobertos=  1.6% | novos=   15 | loop=3.4s | ETA=210s
  iter=  4800 | |SB|= 4,800 | cobertos=  1.6% | novos=   15 | loop=3.4s | ETA=210s
  iter=  4900 | |SB|= 4,900 | cobertos=  1.6% | novos=   15 | loop=3.5s | ETA=211s
  iter=  5000 | |SB|= 5,000 | cobertos=  1.7% | novos=   15 | loop=3.6s | ETA=211s
  iter=  5100 | |SB|= 5,100 | cobertos=  1.7% | novos=   15 | loop=3.7s | ETA=210s
  iter=  5200 | |SB|= 5,200 | cobertos=  1.7% | novos=   15 | loop=3.7s | ETA=209s
  iter=  5300 | |SB|= 5,300 | cobertos=  1.8% | novos=   15 | loop=3.8s | ETA=209s
  iter=  5400 | |SB|= 5,400 | cobertos=  1.8% | novos=   15 | loop=3.9s | ETA=209s
  iter=  5500 | |SB|= 5,500 | cobertos=  1.9% | novos=   15 | loop=3.9s | ETA=208s
  iter=  5600 | |SB|= 5,600 | cobertos=  1.9% | novos=   15 | loop=4.0s | ETA=208s
  iter=  5700 | |SB|= 5,700 | cobertos=  1.9% | novos=   15 | loop=4.1s | ETA=207s
  iter=  5800 | |SB|= 5,800 | cobertos=  2.0% | novos=   15 | loop=4.1s | ETA=208s
  iter=  5900 | |SB|= 5,900 | cobertos=  2.0% | novos=   15 | loop=4.2s | ETA=208s
  iter=  6000 | |SB|= 6,000 | cobertos=  2.0% | novos=   15 | loop=4.3s | ETA=208s
  iter=  6100 | |SB|= 6,100 | cobertos=  2.1% | novos=   15 | loop=4.4s | ETA=209s
  iter=  6200 | |SB|= 6,200 | cobertos=  2.1% | novos=   15 | loop=4.5s | ETA=210s
  iter=  6300 | |SB|= 6,300 | cobertos=  2.1% | novos=   15 | loop=4.6s | ETA=211s
  iter=  6400 | |SB|= 6,400 | cobertos=  2.2% | novos=   15 | loop=4.7s | ETA=213s
  iter=  6500 | |SB|= 6,500 | cobertos=  2.2% | novos=   15 | loop=4.8s | ETA=214s
  iter=  6600 | |SB|= 6,600 | cobertos=  2.2% | novos=   15 | loop=4.9s | ETA=215s
  iter=  6700 | |SB|= 6,700 | cobertos=  2.3% | novos=   15 | loop=5.0s | ETA=216s
  iter=  6800 | |SB|= 6,800 | cobertos=  2.3% | novos=   15 | loop=5.1s | ETA=216s
  iter=  6900 | |SB|= 6,900 | cobertos=  2.3% | novos=   15 | loop=5.2s | ETA=217s
  iter=  7000 | |SB|= 7,000 | cobertos=  2.4% | novos=   15 | loop=5.2s | ETA=217s
  iter=  7100 | |SB|= 7,100 | cobertos=  2.4% | novos=   15 | loop=5.3s | ETA=218s
  iter=  7200 | |SB|= 7,200 | cobertos=  2.4% | novos=   15 | loop=5.4s | ETA=219s
  iter=  7300 | |SB|= 7,300 | cobertos=  2.5% | novos=   15 | loop=5.5s | ETA=220s
  iter=  7400 | |SB|= 7,400 | cobertos=  2.5% | novos=   15 | loop=5.6s | ETA=221s
  iter=  7500 | |SB|= 7,500 | cobertos=  2.5% | novos=   15 | loop=5.7s | ETA=221s
  iter=  7600 | |SB|= 7,600 | cobertos=  2.6% | novos=   15 | loop=5.8s | ETA=221s
  iter=  7700 | |SB|= 7,700 | cobertos=  2.6% | novos=   15 | loop=5.9s | ETA=222s
  iter=  7800 | |SB|= 7,800 | cobertos=  2.6% | novos=   15 | loop=6.0s | ETA=222s
  iter=  7900 | |SB|= 7,900 | cobertos=  2.7% | novos=   15 | loop=6.1s | ETA=223s
  iter=  8000 | |SB|= 8,000 | cobertos=  2.7% | novos=   15 | loop=6.2s | ETA=223s
  iter=  8100 | |SB|= 8,100 | cobertos=  2.7% | novos=   15 | loop=6.3s | ETA=223s
  iter=  8200 | |SB|= 8,200 | cobertos=  2.8% | novos=   15 | loop=6.3s | ETA=223s
  iter=  8300 | |SB|= 8,300 | cobertos=  2.8% | novos=   15 | loop=6.4s | ETA=223s
  iter=  8400 | |SB|= 8,400 | cobertos=  2.8% | novos=   15 | loop=6.5s | ETA=223s
  iter=  8500 | |SB|= 8,500 | cobertos=  2.9% | novos=   15 | loop=6.6s | ETA=223s
  iter=  8600 | |SB|= 8,600 | cobertos=  2.9% | novos=   15 | loop=6.6s | ETA=223s
  iter=  8700 | |SB|= 8,700 | cobertos=  2.9% | novos=   15 | loop=6.7s | ETA=223s
  iter=  8800 | |SB|= 8,800 | cobertos=  3.0% | novos=   15 | loop=6.8s | ETA=222s
  iter=  8900 | |SB|= 8,900 | cobertos=  3.0% | novos=   15 | loop=6.9s | ETA=222s
  iter=  9000 | |SB|= 9,000 | cobertos=  3.0% | novos=   15 | loop=6.9s | ETA=222s
  iter=  9100 | |SB|= 9,100 | cobertos=  3.1% | novos=   15 | loop=7.0s | ETA=222s
  iter=  9200 | |SB|= 9,200 | cobertos=  3.1% | novos=   15 | loop=7.1s | ETA=222s
  iter=  9300 | |SB|= 9,300 | cobertos=  3.1% | novos=   15 | loop=7.1s | ETA=221s
  iter=  9400 | |SB|= 9,400 | cobertos=  3.2% | novos=   15 | loop=7.2s | ETA=221s
  iter=  9500 | |SB|= 9,500 | cobertos=  3.2% | novos=   15 | loop=7.3s | ETA=221s
  iter=  9600 | |SB|= 9,600 | cobertos=  3.2% | novos=   15 | loop=7.4s | ETA=221s
  iter=  9700 | |SB|= 9,700 | cobertos=  3.3% | novos=   15 | loop=7.5s | ETA=221s
  iter=  9800 | |SB|= 9,800 | cobertos=  3.3% | novos=   15 | loop=7.5s | ETA=221s
  iter=  9900 | |SB|= 9,900 | cobertos=  3.3% | novos=   15 | loop=7.6s | ETA=222s
  iter= 10000 | |SB|=10,000 | cobertos=  3.4% | novos=   15 | loop=7.7s | ETA=222s
  iter= 10100 | |SB|=10,100 | cobertos=  3.4% | novos=   15 | loop=7.8s | ETA=223s
  iter= 10200 | |SB|=10,200 | cobertos=  3.4% | novos=   15 | loop=7.9s | ETA=223s
  iter= 10300 | |SB|=10,300 | cobertos=  3.5% | novos=   15 | loop=8.0s | ETA=223s
  iter= 10400 | |SB|=10,400 | cobertos=  3.5% | novos=   15 | loop=8.1s | ETA=224s
  iter= 10500 | |SB|=10,500 | cobertos=  3.5% | novos=   15 | loop=8.2s | ETA=224s
  iter= 10600 | |SB|=10,600 | cobertos=  3.6% | novos=   15 | loop=8.3s | ETA=224s
  iter= 10700 | |SB|=10,700 | cobertos=  3.6% | novos=   15 | loop=8.4s | ETA=225s
  iter= 10800 | |SB|=10,800 | cobertos=  3.6% | novos=   15 | loop=8.5s | ETA=225s
  iter= 10900 | |SB|=10,900 | cobertos=  3.7% | novos=   15 | loop=8.6s | ETA=225s
  iter= 11000 | |SB|=11,000 | cobertos=  3.7% | novos=   15 | loop=8.6s | ETA=224s
  iter= 11100 | |SB|=11,100 | cobertos=  3.7% | novos=   15 | loop=8.7s | ETA=224s
  iter= 11200 | |SB|=11,200 | cobertos=  3.8% | novos=   15 | loop=8.8s | ETA=224s
  iter= 11300 | |SB|=11,300 | cobertos=  3.8% | novos=   15 | loop=8.8s | ETA=224s
  iter= 11400 | |SB|=11,400 | cobertos=  3.8% | novos=   15 | loop=8.9s | ETA=224s
  iter= 11500 | |SB|=11,500 | cobertos=  3.9% | novos=   15 | loop=9.0s | ETA=224s
  iter= 11600 | |SB|=11,600 | cobertos=  3.9% | novos=   15 | loop=9.1s | ETA=223s
  iter= 11700 | |SB|=11,700 | cobertos=  3.9% | novos=   15 | loop=9.1s | ETA=223s
  iter= 11800 | |SB|=11,800 | cobertos=  4.0% | novos=   15 | loop=9.2s | ETA=222s
  iter= 11900 | |SB|=11,900 | cobertos=  4.0% | novos=   15 | loop=9.3s | ETA=222s
  iter= 12000 | |SB|=12,000 | cobertos=  4.0% | novos=   15 | loop=9.3s | ETA=222s
  iter= 12100 | |SB|=12,100 | cobertos=  4.1% | novos=   15 | loop=9.4s | ETA=222s
  iter= 12200 | |SB|=12,200 | cobertos=  4.1% | novos=   15 | loop=9.5s | ETA=222s
  iter= 12300 | |SB|=12,300 | cobertos=  4.1% | novos=   15 | loop=9.5s | ETA=221s
  iter= 12400 | |SB|=12,400 | cobertos=  4.2% | novos=   15 | loop=9.6s | ETA=221s
  iter= 12500 | |SB|=12,500 | cobertos=  4.2% | novos=   15 | loop=9.7s | ETA=220s
  iter= 12600 | |SB|=12,600 | cobertos=  4.2% | novos=   15 | loop=9.7s | ETA=220s
  iter= 12700 | |SB|=12,700 | cobertos=  4.3% | novos=   15 | loop=9.8s | ETA=219s
  iter= 12800 | |SB|=12,800 | cobertos=  4.3% | novos=   15 | loop=9.8s | ETA=219s
  iter= 12900 | |SB|=12,900 | cobertos=  4.3% | novos=   15 | loop=9.9s | ETA=218s
  iter= 13000 | |SB|=13,000 | cobertos=  4.4% | novos=   15 | loop=10.0s | ETA=218s
  iter= 13100 | |SB|=13,100 | cobertos=  4.4% | novos=   15 | loop=10.0s | ETA=217s
  iter= 13200 | |SB|=13,200 | cobertos=  4.4% | novos=   15 | loop=10.1s | ETA=217s
  iter= 13300 | |SB|=13,300 | cobertos=  4.5% | novos=   15 | loop=10.2s | ETA=217s
  iter= 13400 | |SB|=13,400 | cobertos=  4.5% | novos=   15 | loop=10.2s | ETA=217s
  iter= 13500 | |SB|=13,500 | cobertos=  4.5% | novos=   15 | loop=10.3s | ETA=216s
  iter= 13600 | |SB|=13,600 | cobertos=  4.6% | novos=   15 | loop=10.4s | ETA=217s
